cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1684000,4.016,4.336,3.792,3.776,0.000,0.000
1686000,4.048,3.952,4.096,4.112,0.000,0.000
1688000,3.936,3.840,4.256,4.160,0.000,0.000
1690000,4.112,4.144,3.936,3.968,0.000,0.000
1692000,4.096,4.016,3.920,4.128,0.000,0.000
1694000,4.080,4.192,3.904,4.112,0.000,0.000
1696000,3.984,4.032,4.336,4.288,0.000,0.000
1698000,3.968,4.032,4.256,3.856,0.000,0.000
1700000,4.304,3.920,3.680,4.064,0.000,0.000
1702000,4.224,4.256,4.144,4.000,0.000,0.000
1704000,3.776,4.016,3.984,4.176,0.000,0.000
1706000,3.952,4.048,4.288,3.696,0.000,0.000
1708000,4.336,3.776,4.080,4.224,0.000,0.000
1710000,4.096,4.528,3.856,4.080,0.000,0.000
1712000,3.872,3.840,3.984,4.320,0.000,0.000
1714000,3.904,4.224,4.304,4.032,0.000,0.000
1716000,4.208,3.744,4.048,4.064,0.000,0.000
1718000,4.272,4.240,4.032,3.808,0.000,0.000
1720000,3.984,4.080,4.016,4.064,0.000,0.000
1722000,3.792,4.048,4.128,4.256,0.000,0.000
1724000,3.936,3.792,3.888,4.016,0.000,0.000
1726000,4.224,4.160,4.112,4.000,0.000,0.000
1728000,4.128,4.384,4.160,3.952,0.000,0.000
1730000,3.872,3.744,4.208,4.256,0.000,0.000
1732000,3.968,4.112,3.792,4.160,0.000,0.000
1734000,4.368,4.016,4.160,3.872,0.000,0.000
1736000,3.920,4.208,3.728,4.176,0.000,0.000
1738000,4.192,4.112,4.448,3.872,0.000,0.000
1740000,3.856,3.904,4.048,4.304,0.000,0.000
1742000,4.240,3.904,4.128,3.920,0.000,0.000
1744000,3.904,4.080,3.680,4.080,0.000,0.000
1746000,4.272,4.304,4.080,4.000,0.000,0.000
1748000,3.760,3.936,4.416,4.224,0.000,0.000
1750000,4.192,3.904,4.016,3.872,0.000,0.000
1752000,3.984,4.288,3.920,4.064,0.000,0.000
1754000,4.144,4.016,3.776,4.048,0.000,0.000
1756000,4.048,4.048,4.336,4.016,0.000,0.000
1758000,4.128,3.984,4.176,4.256,0.000,0.000
1760000,4.048,4.032,3.904,4.016,0.000,0.000
1762000,4.080,4.224,4.048,4.096,0.000,0.000
1764000,3.984,3.984,4.000,3.856,0.000,0.000
1766000,4.096,3.888,4.192,4.016,0.000,0.000
