Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
30800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.383921
30900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.352182
31000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,16.330444
31100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.811988
31200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.134681
31300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.549898
31400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.570355
31500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.493351
31600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.338750
31700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.920572
31800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.364587
31900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.268768
32000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.138185
32100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.006251
32200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.068635
32300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.827701
32400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.288484
32500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.647602
32600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.818923
32700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.070804
32800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.022974
32900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.936195
33000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.550678
33100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.919101
33200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.361086
33300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.009603
33400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.983972
33500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.831311
33600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.703729
33700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.230384
33800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.974993
33900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.927960
34000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.122192
34100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.392666
34200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.296726
34300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.061712
34400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.747307
34500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.883545
34600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.341467
34700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.968047
34800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.496312
34900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.275602
35000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.974412
35100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.436349
35200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.827006
35300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.677159
35400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.021345
35500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.107335
35600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.983017
