Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1023400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.195659
1023500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.615073
1023600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.627276
1023700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.317333
1023800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.869709
1023900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.386246
1024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.404222
1024100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.079122
1024200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.036580
1024300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.275716
1024400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.184084
1024500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.129610
1024600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.579346
1024700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.274182
1024800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.053796
1024900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.522583
1025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.492861
1025100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.422176
1025200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.728474
1025300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.807181
1025400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.891696
1025500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.727997
1025600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.641115
1025700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.177109
1025800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.919555
1025900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.367995
1026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.298125
1026100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.570342
1026200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.207133
1026300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.036535
1026400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.126873
1026500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.738662
1026600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.318266
1026700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.480242
1026800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.237297
1026900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.768083
1027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.476814
1027100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.926928
1027200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.654512
1027300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.992047
1027400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.327833
1027500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.538323
1027600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,11.960058
1027700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.122772
1027800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.015774
1027900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.494342
1028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.163004
1028100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.412034
1028200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.135439
1028300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.178805
1028400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.167820
1028500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.841541
1028600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.627200
1028700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.934151
1028800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.750350
1028900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.823009
1029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.413528
1029100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.473548
1029200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.687615
1029300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.808705
1029400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.773042
1029500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.783779
1029600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.197050
1029700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.567068
1029800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.751312
1029900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.718158
1030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.418652
1030100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.048455
1030200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.551621
1030300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.885845
1030400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.317614
1030500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.564425
1030600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.679863
1030700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.415172
1030800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.149193
1030900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.137576
1031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.979900
1031100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.884738
1031200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.052302
1031300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.814355
1031400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.029091
1031500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.609425
1031600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.975266
1031700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.978258
1031800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.612802
1031900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.751814
1032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.841769
1032100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.897146
1032200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.942703
1032300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.729820
1032400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.594146
1032500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.908989
1032600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.697734
1032700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.293162
1032800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.740462
1032900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.906784
1033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.530587
1033100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.354209
1033200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.275195
1033300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.267644
1033400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.925858
1033500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.185929
1033600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.931659
1033700,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.652857
1033800,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.494321
1033900,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.342039
1034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.731881
1034100,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,15.659474
1034200,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,12.636950
1034300,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.523762
1034400,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.558597
1034500,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,14.123203
1034600,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,13.356850
